SLAMBench Report run started:	2023-08-27 04:41:16

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: ./result/kitti/aloam/aloam-kitti-result.txt
input: ./datasets/KITTI/2011_09_30_drive_0027/2011_09_30_drive_0027_sync.slam
load-slam-library: /deps/aloam/lib/libaloam-original-library.so
save-groundtruth: 
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
alignment-technique: new
gui: true
lifelong: false
Grey-intrinsics-parameters: 0.577416,1.911057,0.4909358,0.4948929
Grey-intrinsics-parameters: 0.577416,1.911057,0.4909358,0.4948929
configuration: /deps/aloam/configs/configs.yaml

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	OrientationError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
15	45627.0111414510	0.0127376420	119.1089095394	0.0184415851	0.0369277373	0.0204466889	0.0870700000	26485401	0	-0.3423063457	-0.0667240396	1.9552128315
16	45627.1148504180	0.0583284162	121.9364302709	0.0261348814	0.0583284162	0.0301532847	0.0559040000	25784914	0	-0.4618242681	-0.0687756240	2.2314069271
17	45627.2185281360	0.0297376700	122.6891034571	0.0284258613	0.0449592508	0.0290523821	0.1099860000	25988209	0	-0.5417644382	-0.0758742988	2.4207322598
18	45627.3222008080	0.0205206629	121.8038836199	0.0280827122	0.0443639196	0.0300094450	0.1015100000	28641807	0	-0.6447950602	-0.0917669758	2.5797727108
19	45627.4258789030	0.0094254939	121.7695960702	0.0271070075	0.0442350544	0.0293806185	0.1086400000	26450001	0	-0.7359255552	-0.0918310806	2.7846291065
20	45627.5295810500	0.0300703328	121.3929657790	0.0286728265	0.0493454561	0.0307805633	0.0584060000	27979677	0	-0.8736951351	-0.0990844667	3.0326039791
21	45627.6332856040	0.0362211727	121.5374789215	0.0299136994	0.0542121977	0.0301490729	0.1135600000	26428668	0	-0.9938995242	-0.0957835391	3.2528324127
22	45627.7369650000	0.0119554708	121.8562848312	0.0291770068	0.0548279174	0.0303769408	0.0988970000	28544168	0	-1.1153271198	-0.0888868272	3.4217813015
23	45627.8406441540	0.0184918400	121.7735575799	0.0286498875	0.0545720011	0.0297818508	0.1145280000	26681683	0	-1.2505608797	-0.0975714624	3.6153795719
24	45627.9442980460	0.0468243435	121.8130633941	0.0303034139	0.0579925515	0.0320545542	0.0556640000	28327443	0	-1.4323415756	-0.1030978113	3.8755667210
25	45628.0479028550	0.0503364354	121.8289094330	0.0320467243	0.0609397106	0.0314193765	0.1089620000	26535825	0	-1.6241680384	-0.1148596182	4.0796809196
26	45628.1515125790	0.0336685367	121.8076265635	0.0326091501	0.0627547354	0.0307036528	0.1096740000	29071796	0	-1.8331845999	-0.1215205640	4.2550215721
27	45628.2551441600	0.0272912830	122.0446341277	0.0325703166	0.0637144074	0.0302959168	0.1113380000	27164449	0	-2.0378072262	-0.1194889694	4.4336581230
28	45628.3587769480	0.0792491063	122.3419659227	0.0355557491	0.0792491063	0.0335681454	0.0743160000	29439595	0	-2.3428361416	-0.1102371141	4.6694331169
29	45628.4624333310	0.0598570034	122.4518773268	0.0379061204	0.0686211288	0.0329095684	0.1172290000	26716711	0	-2.5826516151	-0.1146140695	4.8458371162
30	45628.5661086350	0.0523968004	122.4788702344	0.0394993690	0.0699132755	0.0323438032	0.0876710000	28454602	0	-2.8430776596	-0.1203676090	5.0217819214
31	45628.6698084900	0.0545376651	122.5676217125	0.0406710838	0.0741432458	0.0324143201	0.1156310000	27378795	0	-3.1178090572	-0.1238604262	5.1965579987
32	45628.7735369420	0.0568506271	122.7162193081	0.0415944867	0.0782184601	0.0321485099	0.0680820000	29664295	0	-3.4145991802	-0.1205023751	5.3544812202
33	45628.8772413960	0.0454507098	122.8293818822	0.0418874678	0.0807475746	0.0317782185	0.1032940000	26653003	0	-3.7345530987	-0.1170688570	5.4796929359
34	45628.9809431320	0.0444180109	122.9491970606	0.0419983508	0.0824249685	0.0314443929	0.0949470000	28672892	0	-4.0756525993	-0.1195911020	5.5996971130
35	45629.0846919600	0.0556418113	122.8873428675	0.0422531603	0.0827852711	0.0312852577	0.1079000000	27089049	0	-4.4169101715	-0.1238816530	5.6993579865
36	45629.1884679580	0.0704691261	122.9264798515	0.0427834104	0.0810227022	0.0320913687	0.0665870000	29860899	0	-4.7761740685	-0.1190992370	5.7530674934
37	45629.2922678820	0.0941072479	237.1044982441	0.0438609195	0.0941072479	0.0321179957	0.1032220000	27083261	0	-5.1419310570	-0.1265936792	5.8430852890
38	45629.3961085050	0.1148942262	237.2462656506	0.0455084607	0.1148942262	0.0322647018	0.0992360000	29082826	0	-5.5268640518	-0.1421721876	5.8907651901
39	45629.5000169310	0.1478772908	237.3815580376	0.0479694828	0.1478772908	0.0329998695	0.1007430000	27640421	0	-5.9142718315	-0.1419158727	5.9131298065
40	45629.6040124080	0.1870524138	122.4398152127	0.0514360155	0.1870524138	0.0349571814	0.0639220000	29961941	0	-6.3220729828	-0.1211707890	5.8848152161
41	45629.7080859680	0.2010854781	237.5795788821	0.0556393424	0.2010854781	0.0350239156	0.1156690000	27255291	0	-6.7536063194	-0.1100014746	5.8898382187
42	45629.8121972490	0.1965814978	237.4933545740	0.0599676529	0.1965814978	0.0347110702	0.1091400000	29650603	0	-7.2189006805	-0.0989655927	5.8909015656
43	45629.9163377150	0.1952354014	237.5068237070	0.0643539827	0.1952354014	0.0344148706	0.1013890000	27405801	0	-7.6923213005	-0.1034141034	5.8857517242
44	45630.0205435440	0.2169778794	237.4578922318	0.0695003233	0.2169778794	0.0353410194	0.0585490000	28652849	0	-8.1784439087	-0.0951489210	5.8249263763
45	45630.1248157200	0.2115048617	237.3124911647	0.0743205543	0.2115048617	0.0351070435	0.1203260000	27069213	0	-8.6878776550	-0.1041688994	5.7962965965
46	45630.2291183150	0.2258504331	237.4034966052	0.0793180424	0.2258504331	0.0352418411	0.0935140000	29196033	0	-9.1966085434	-0.1071297899	5.7533388138
47	45630.3334456880	0.2855879962	237.6272536025	0.0857072759	0.2855879962	0.0377081461	0.1001160000	27252577	0	-9.6640291214	-0.1012660265	5.6907663345
48	45630.4377966620	0.2770181894	237.8515570148	0.0916542819	0.2770181894	0.0385364320	0.1203710000	26553406	0	-10.2335004807	-0.0968991667	5.6190028191
49	45630.5421478410	0.2603927553	237.9211429821	0.0971854162	0.2603927553	0.0402685036	0.1150120000	27563141	0	-10.8465614319	-0.1279377341	5.5365228653
50	45630.6464978460	0.2690720260	238.3742304108	0.1030954724	0.2690720260	0.0449578267	0.0735990000	28069855	0	-11.4922475815	-0.0978942886	5.4229311943
51	45630.7508254480	0.2677202523	238.6577925444	0.1090011687	0.2677202523	0.0462080665	0.1164310000	26500207	0	-12.1338014603	-0.0752331018	5.3479804993
52	45630.8551276130	0.2619139850	238.8315252362	0.1146634975	0.2619139850	0.0461664585	0.1128670000	27407008	0	-12.7840251923	-0.0641189143	5.2811093330
53	45630.9594296320	0.2692363858	238.7525955701	0.1201557181	0.2692363858	0.0473233863	0.0680360000	28201820	0	-13.3971118927	-0.0188559685	5.2134361267
54	45631.0637332470	0.2613141835	238.6406624300	0.1251961352	0.2613141835	0.0472093736	0.1201360000	26541742	0	-14.0711507797	-0.0350304097	5.1396470070
55	45631.1679888860	0.2581216395	238.8369074252	0.1297221976	0.2581216395	0.0471155026	0.1078850000	27406343	0	-14.7255821228	-0.0317562148	5.0691761971
56	45631.2722175530	0.2912678719	238.7408203240	0.1341482063	0.2912678719	0.0509131250	0.0627430000	28333051	0	-15.2810430527	-0.0567151234	5.0154404640
57	45631.3764235590	0.2945078015	238.9840843415	0.1381547612	0.2945078015	0.0506380341	0.1109730000	26610965	0	-15.9489870071	-0.0532373525	4.9540886879
58	45631.4805825520	0.2848779857	239.1416158245	0.1415353076	0.2848779857	0.0505980157	0.0983020000	27918129	0	-16.6436843872	-0.0603912249	4.9014225006
59	45631.5847421810	0.2683103383	238.9424748290	0.1442908610	0.2683103383	0.0502938577	0.0735470000	27357611	0	-17.3777103424	-0.0337848067	4.8351850510
60	45631.6889024090	0.2622998655	238.9515179995	0.1466518634	0.2622998655	0.0501950364	0.1136140000	26600285	0	-18.1112136841	-0.0279143322	4.7670488358
61	45631.7930359240	0.2454573363	238.8893359573	0.1485359380	0.2499899417	0.0497653247	0.0893690000	27808671	0	-18.8855972290	-0.0190090872	4.6936860085
62	45631.8971483010	0.2293830663	121.2090970866	0.1500370048	0.2522217631	0.0503811616	0.0800540000	27702546	0	-19.7045803070	0.0357496217	4.6123728752
63	45632.0012365200	0.2308484614	238.8834073531	0.1513532738	0.2542055845	0.0503343759	0.1185500000	26759711	0	-20.4784488678	0.0591744632	4.5484886169
64	45632.1052978910	0.2155291885	239.1192674455	0.1523964719	0.2555032074	0.0503982429	0.0969230000	27951268	0	-21.2955894470	0.0605766810	4.4890589714
65	45632.2093622540	0.2062350661	239.3885681441	0.1532620052	0.2565831542	0.0503741791	0.0696220000	28562222	0	-22.0866851807	0.0541777201	4.4314064980
66	45632.3133988760	0.2051744908	239.7234659795	0.1540638211	0.2575691640	0.0500557192	0.1048300000	26881764	0	-22.8698329926	0.0690463856	4.3681259155
67	45632.4174135130	0.2055452913	239.6254937460	0.1547937084	0.2584899962	0.0502371961	0.1104260000	27850831	0	-23.6537551880	0.0629187524	4.3079590797
68	45632.5214269940	0.2025343627	239.2886288162	0.1556752590	0.2586744726	0.0507303160	0.0643410000	28883763	0	-24.5328960419	0.0684520602	4.2314248085
69	45632.6254162860	0.1948127002	239.4507501863	0.1563854983	0.2592645586	0.0504050206	0.1246490000	27150958	0	-25.3557186127	0.0679007843	4.1729192734
70	45632.7294082030	0.1942898631	239.3917373519	0.1570394752	0.2604600489	0.0502858898	0.1095480000	28156274	0	-26.1966247559	0.0695516616	4.0996069908
71	45632.8333990820	0.1963029504	239.2863611934	0.1577924380	0.2612858713	0.0508976230	0.0632210000	28919234	0	-27.0687732697	0.0864308998	4.0195903778
72	45632.9373672370	0.2082539201	239.1574345426	0.1590378632	0.2614938915	0.0521313669	0.1323310000	27378798	0	-27.9809684753	0.1012604982	3.9363369942
73	45633.0413349670	0.1982997507	239.2027323572	0.1601983780	0.2621628642	0.0520221282	0.1141320000	28336017	0	-28.8370628357	0.1046337783	3.8666260242
74	45633.1453012340	0.2008404434	239.3183264787	0.1614283377	0.2662943900	0.0519503401	0.0723480000	29204427	0	-29.6949596405	0.1392327845	3.7900493145
75	45633.2492667030	0.1861397922	239.2951311563	0.1624479459	0.2698563337	0.0521485877	0.1248480000	27675527	0	-30.5422515869	0.1462760568	3.7300095558
76	45633.3532090940	0.1895616800	239.2781922871	0.1635242072	0.2732076645	0.0518263911	0.1097230000	29370397	0	-31.4015541077	0.1536594480	3.6518161297
77	45633.4571535410	0.1602114886	239.0363489490	0.1637102113	0.2757552266	0.0528670221	0.0953630000	28593459	0	-32.1750450134	0.1779238582	3.5867760181
78	45633.5611215090	0.1597530991	121.0863585872	0.1636421578	0.2779574394	0.0527348464	0.1107930000	28334490	0	-32.9856491089	0.1894017458	3.5084645748
79	45633.6650881740	0.1587667018	121.0601033400	0.1634419786	0.2799207866	0.0524835232	0.0969570000	29878154	0	-33.8047752380	0.1989723742	3.4349212646
80	45633.7690547150	0.1841527820	120.6243099502	0.1631456051	0.2814681232	0.0580017971	0.0795740000	28921684	0	-34.5606117249	0.1946388930	3.3597545624
81	45633.8730432630	0.1816417277	239.4631538098	0.1628342646	0.2829451859	0.0582522280	0.1312930000	28188599	0	-35.3989601135	0.2172463089	3.2868771553
82	45633.9770333160	0.1757828593	239.5310185694	0.1624812022	0.2843409479	0.0581765616	0.1144960000	29250616	0	-36.2397804260	0.2164375037	3.2171163559
83	45634.0810012030	0.1601980776	239.7699112658	0.1622279369	0.2858530581	0.0584959229	0.0743750000	29727105	0	-37.1444282532	0.2178766429	3.1406390667
84	45634.1849431500	0.1527461857	239.6472683891	0.1618970803	0.2871983945	0.0584612835	0.1122470000	28194832	0	-37.9905967712	0.2319055796	3.0763866901
85	45634.2888850430	0.1502241343	239.7065271104	0.1615745769	0.2884441912	0.0590607452	0.0954340000	29571296	0	-38.8399543762	0.2477216721	3.0072832108
86	45634.3928518430	0.1380849034	239.5490502688	0.1611411137	0.2895144820	0.0614176504	0.0829070000	29148896	0	-39.6799621582	0.2587847412	2.9499890804
87	45634.4968195100	0.1323917359	239.6625406921	0.1606012791	0.2904588878	0.0610843070	0.1469620000	28311319	0	-40.5047531128	0.2658787370	2.8845777512
88	45634.6008109890	0.1381996721	239.6866922410	0.1602263980	0.2913686037	0.0608355196	0.1247750000	29700548	0	-41.3630294800	0.2746158242	2.8101990223
89	45634.7047998780	0.1443020552	239.5627926095	0.1598227589	0.2922358513	0.0623534690	0.0849600000	29954594	0	-42.1801719666	0.2721025646	2.7252879143
90	45634.8087431860	0.1549419165	239.5028235485	0.1597522085	0.2930268943	0.0624036049	0.1197730000	28595288	0	-43.0615425110	0.2865464985	2.6523911953
91	45634.9126874510	0.1651735008	239.3523954623	0.1598483642	0.2937553525	0.0635935191	0.1023220000	30510042	0	-43.9067535400	0.2901285291	2.5784058571
92	45635.0166295230	0.1336251497	120.7172688248	0.1591125358	0.2943172753	0.0660046332	0.0826550000	30826694	0	-44.6025466919	0.3045053780	2.5315060616
93	45635.1205717540	0.1399888992	120.6626409718	0.1584140449	0.2948482633	0.0660852655	0.1041530000	29386435	0	-45.4150924683	0.3127621114	2.4608225822
94	45635.2245133580	0.1489715874	120.5773728902	0.1578411274	0.2953877151	0.0657734372	0.0964800000	30925281	0	-46.2511558533	0.3188483119	2.3743267059
95	45635.3284566200	0.1565262079	239.5447882308	0.1573139632	0.2958861887	0.0707905666	0.0831800000	30345189	0	-47.0595054626	0.3358779550	2.2991955280
96	45635.4324009860	0.1663702279	239.5286689844	0.1569499057	0.2963724136	0.0712067036	0.1119000000	29649810	0	-47.8894996643	0.3467714489	2.2116863728
97	45635.5363189740	0.1757418066	239.5345975886	0.1567290097	0.2968330979	0.0710392022	0.0991070000	30993252	0	-48.6972656250	0.3562909365	2.1269276142
98	45635.6402361290	0.1697452068	239.5139704173	0.1563259723	0.2972324789	0.0720330686	0.0859850000	31792197	0	-49.4325218201	0.3492375016	2.0771284103
99	45635.7441806360	0.1719147265	239.5056649072	0.1559721371	0.2976115644	0.0730259230	0.1519780000	29929079	0	-50.2300148010	0.3551291227	1.9856599569
100	45635.8482075820	0.1690922976	239.3672579539	0.1556894705	0.2979449034	0.0752236383	0.1423740000	30942884	0	-51.0512847900	0.3712562919	1.8857461214
101	45635.9521249770	0.1347974241	239.1560138632	0.1554097657	0.2981152833	0.0755896257	0.0639100000	31690430	0	-51.9220542908	0.3705593646	1.8202512264
102	45636.0559589370	0.1564199030	239.0673306871	0.1555534340	0.2981958687	0.0773821972	0.1184620000	30059238	0	-52.7670135498	0.3749251366	1.7273075581
103	45636.1598793330	0.1773371845	239.0261583067	0.1560397076	0.2982032001	0.0776832128	0.1090190000	31884672	0	-53.5810852051	0.3853383064	1.6307796240
104	45636.2637975130	0.1409390420	239.3129989311	0.1561526391	0.2981815040	0.0933785241	0.0905450000	30637874	0	-54.3451652527	0.3901909590	1.5794830322
105	45636.3677155770	0.1562657058	239.3049939494	0.1564723079	0.2981182337	0.0932906866	0.1094250000	29654631	0	-55.1373558044	0.4065098763	1.4901710749
106	45636.4716603800	0.1669654250	239.5319474752	0.1569130742	0.2989473641	0.0929831280	0.1177180000	31438611	0	-55.9158744812	0.4277822077	1.4035415649
107	45636.5756034330	0.1715326905	239.4487011296	0.1574319519	0.3007739782	0.0927022125	0.1340320000	30224049	0	-56.6926422119	0.4406871498	1.3165404797
108	45636.6795446930	0.1425007731	239.4969222651	0.1571021084	0.3021168709	0.0938059648	0.0535220000	30026126	0	-57.3181953430	0.4500982165	1.2756222486
109	45636.7834876250	0.1541855186	239.4685906404	0.1568292095	0.3034403324	0.0948853664	0.1248060000	30009527	0	-58.0521240234	0.4663600326	1.1991419792
110	45636.8874061440	0.1579279006	239.4079112398	0.1566440455	0.3048828244	0.0945393490	0.1174540000	31909781	0	-58.8049011230	0.4761316180	1.1113051176
111	45636.9913494750	0.1215064824	239.4668421120	0.1561188542	0.3058697581	0.0989923186	0.0995220000	30614481	0	-59.5350189209	0.4552378356	1.0733314753
112	45637.0953179260	0.1368378848	239.3950158427	0.1556409060	0.3068113029	0.0996838617	0.1258700000	30265020	0	-60.2326164246	0.4572155476	1.0010361671
113	45637.1992833470	0.1396695673	239.5220300405	0.1551979540	0.3077949584	0.0994058234	0.1219020000	31967920	0	-60.9389114380	0.4630331397	0.9229164720
114	45637.3032737610	0.1089824140	120.5091119797	0.1546790311	0.3088098466	0.1049910502	0.0946470000	31158872	0	-61.6826858521	0.4644097984	0.8499059081
115	45637.4073118330	0.1090175509	120.4906431481	0.1543105986	0.3099342883	0.1051497954	0.1161140000	30273813	0	-62.4021072388	0.4758660197	0.7742292285
116	45637.5113742850	0.1110880077	120.3089327955	0.1539413113	0.3110331893	0.1047088480	0.1103460000	32349817	0	-63.0627479553	0.4844662845	0.7196682096
117	45637.6154385590	0.1228380203	120.3360213257	0.1535309467	0.3120357990	0.1047594320	0.0936410000	31086023	0	-63.6719169617	0.4979040623	0.6774015427
118	45637.7195255200	0.1227553859	120.4836900156	0.1530851163	0.3129983544	0.1043420080	0.1303240000	30563698	0	-64.2973861694	0.4940089583	0.6346499920
119	45637.8236602870	0.1225657314	120.5154367348	0.1526108566	0.3138790131	0.1042792339	0.1011500000	32408310	0	-64.9069366455	0.4973351359	0.6040261388
120	45637.9278183280	0.1509524435	120.7810354709	0.1522255533	0.3146084547	0.1045368700	0.1080310000	30916820	0	-65.4568557739	0.5104852915	0.5915513635
121	45638.0320002790	0.1381136030	120.8135061902	0.1518287408	0.3154150248	0.1044645221	0.1095270000	30610345	0	-66.0658874512	0.5239216089	0.5733974576
122	45638.1362288670	0.1444094479	120.6918195400	0.1515015130	0.3163208663	0.1040469072	0.1046310000	32566561	0	-66.6306152344	0.5365055203	0.5689721704
123	45638.2405069760	0.1506227553	120.6341727434	0.1512294962	0.3172839880	0.1036345347	0.1101050000	31236972	0	-67.1701965332	0.5451724529	0.5875208974
124	45638.3448352680	0.1462889016	120.3932992921	0.1510148001	0.3183128834	0.1039945993	0.0473810000	30726716	0	-67.7109298706	0.5537450910	0.6275935173
125	45638.4492106640	0.1646449566	120.3249290985	0.1509092235	0.3195018768	0.1042042946	0.1106120000	30945335	0	-68.1956024170	0.5567122102	0.6747195125
126	45638.5536105890	0.1884690970	239.6728679381	0.1509289648	0.3207873106	0.1048726885	0.1018860000	32402756	0	-68.6462707520	0.5704351664	0.7447735667
127	45638.6580326960	0.2016906738	239.5753328368	0.1510503740	0.3221828341	0.1053286741	0.1105860000	31600803	0	-69.0944976807	0.5736349225	0.8304701447
128	45638.7624793760	0.2663594782	239.6382525394	0.1514422452	0.3238392174	0.1063624851	0.0556010000	32372958	0	-69.4640808105	0.5797513723	0.9168931246
129	45638.8669260130	0.2620589137	239.7258428853	0.1519621023	0.3256530166	0.1061535985	0.1428090000	31368323	0	-69.9299774170	0.5851069689	1.0450319052
130	45638.9713717210	0.2731028795	239.7952922488	0.1526614126	0.3275985122	0.1057951611	0.1317120000	33529983	0	-70.3601608276	0.5897042155	1.2050422430
131	45639.0757949600	0.2863395512	239.8575016118	0.1536564056	0.3297373354	0.1054601987	0.1123840000	32204731	0	-70.7942657471	0.6000607610	1.3820492029
132	45639.1801952550	0.3249371052	119.7026442236	0.1551893964	0.3322144151	0.1311451494	0.0533320000	33101490	0	-71.2362213135	0.6122095585	1.5621625185
133	45639.2845714810	0.3341463804	119.6177722930	0.1568975206	0.3347876668	0.1319713663	0.1483820000	31721973	0	-71.6060562134	0.6062213182	1.7787901163
134	45639.3888958820	0.3457445204	119.6422380306	0.1588502355	0.3457445204	0.1315498400	0.1353170000	33332558	0	-71.9732971191	0.6209488511	2.0224039555
135	45639.4931731950	0.3624888361	119.6239058028	0.1611137449	0.3624888361	0.1309819384	0.1408190000	32349607	0	-72.3272018433	0.6266224980	2.2816984653
136	45639.5974284870	0.3843184710	119.6530433898	0.1634109793	0.3843184710	0.1308420320	0.0519840000	33714683	0	-72.5436477661	0.6117016077	2.5414333344
137	45639.7016848490	0.3864942491	119.4823842832	0.1658550741	0.3864942491	0.1325200059	0.1122900000	31999535	0	-72.8564987183	0.6034669876	2.8325202465
138	45639.8059406570	0.3954607248	119.5159888140	0.1684808654	0.3954607248	0.1319929910	0.0999580000	34471388	0	-73.1501007080	0.6088645458	3.1265041828
139	45639.9101965710	0.4034428596	119.3636482747	0.1712409035	0.4034428596	0.1330357850	0.1199440000	33407089	0	-73.4422836304	0.6091447473	3.4406316280
140	45640.0144508810	0.3897964954	119.3844257102	0.1738026334	0.3925461769	0.1324110860	0.0510060000	34657069	0	-73.6722869873	0.6172235608	3.8021612167
141	45640.1187025340	0.3933676481	119.4240954489	0.1763533318	0.3933676481	0.1322337189	0.1283030000	32958687	0	-73.9174880981	0.6211662889	4.1786293983
142	45640.2229331820	0.3940709829	119.3129409503	0.1788666544	0.3940709829	0.1328844261	0.1028230000	34440830	0	-74.1510620117	0.6200946569	4.5849308968
143	45640.3271186850	0.3857613206	119.2925323451	0.1813177969	0.3857613206	0.1323049287	0.1126180000	33696469	0	-74.3971633911	0.6204299331	5.0221862793
144	45640.4312312450	0.3916178942	119.4837230003	0.1838038392	0.3916178942	0.1340403579	0.0686740000	35436635	0	-74.6322860718	0.6074529886	5.4731216431
145	45640.5352438580	0.3627127111	119.6547919183	0.1859729543	0.3817726076	0.1346067003	0.1296470000	33075825	0	-74.8408050537	0.5872674584	5.9786920547
146	45640.6391865960	0.3545967042	119.6874265621	0.1880159551	0.3729832470	0.1341125455	0.1025750000	35289141	0	-75.0435714722	0.5851185918	6.4879126549
147	45640.7430591040	0.3394916058	119.7714788701	0.1898652626	0.3757216632	0.1337598458	0.1078890000	33598269	0	-75.2322158813	0.5807547569	7.0315985680
148	45640.8468086700	0.3243046999	119.8080613632	0.1915414064	0.3782787621	0.1337081221	0.0574550000	34353446	0	-75.4253845215	0.5641480684	7.6018862724
149	45640.9505100130	0.2906103730	119.7735962287	0.1928645568	0.3805424571	0.1334031745	0.1183350000	32657667	0	-75.5928649902	0.5506688952	8.2111911774
150	45641.0542141720	0.2626907229	119.8249592513	0.1938959907	0.3825074732	0.1330901233	0.1173240000	35082111	0	-75.7501831055	0.5379539132	8.8335800171
151	45641.1578927590	0.2474920303	119.8402315542	0.1947489456	0.3842116594	0.1333007244	0.1113540000	33190353	0	-75.9016799927	0.5190492868	9.4583215714
152	45641.2615949640	0.2163656205	119.6926858078	0.1952886752	0.3858560026	0.1336427474	0.0556790000	34567515	0	-76.0694351196	0.5430727601	10.1529893875
153	45641.3652986890	0.2209352553	119.8868271048	0.1958347558	0.3875261843	0.1348919042	0.1146260000	32735545	0	-76.2129135132	0.5421340466	10.7882547379
154	45641.4690004700	0.2053460032	239.6919924678	0.1962159551	0.3889687955	0.1477044245	0.1158590000	34782153	0	-76.3419189453	0.5367963910	11.4739952087
155	45641.5727274120	0.2428787649	239.5388869474	0.1968719679	0.3907069564	0.1495149369	0.1001660000	33350889	0	-76.4646911621	0.5461478233	12.0899648666
156	45641.6765008710	0.2648293078	239.4552307904	0.1976728403	0.3924409747	0.1496147108	0.1201470000	32806878	0	-76.6026992798	0.5366339087	12.7670249939
157	45641.7802986490	0.2884487808	239.1431457869	0.1986250782	0.3942803144	0.1531063043	0.1128510000	34472294	0	-76.7275543213	0.5371135473	13.4570055008
158	45641.8840733050	0.3263997734	239.5330949469	0.1998126013	0.3963930309	0.1651598426	0.0858490000	33817882	0	-76.8286361694	0.5415951014	14.1185131073
159	45641.9878716250	0.3221212626	239.5460176649	0.2009336159	0.3983767927	0.1646821350	0.1277970000	32959251	0	-76.9283218384	0.5270432830	14.8556871414
160	45642.0916726810	0.3177519739	120.4699203542	0.2019895915	0.4002931118	0.1648025579	0.1057360000	34597084	0	-77.0340728760	0.5253735781	15.6207551956
161	45642.1954471080	0.2922731936	119.8984247660	0.2028280825	0.4021092951	0.1809445815	0.0782970000	34265717	0	-77.1194152832	0.5388810635	16.4264507294
162	45642.2992209470	0.2934403419	239.9054222190	0.2036443201	0.4038714767	0.1812477095	0.1258940000	33529074	0	-77.2031631470	0.5246816874	17.1892757416
163	45642.4029723710	0.2904103398	239.9209677295	0.2044085455	0.4055831730	0.1808961539	0.0977660000	35410358	0	-77.2896041870	0.5119672418	17.9655170441
164	45642.5067236710	0.3238902092	239.8116027405	0.2053625999	0.4074813128	0.1813039958	0.0835070000	34687598	0	-77.3832931519	0.5030324459	18.6957435608
